meet,rcDate,rcNo,rcDist,hrNo,hrNm,jkNm,trNm,wght,hrWght,age,sex,rcTime,s1f,g3f,ordBigo,trackCond,weather,ord,winOdds,plcOdds
1,20250601,2,1200,9,파워블레이드,김민기,김동수,57.6,449.0,4,암,70.1,6.5,31.1,3-5-8,포슬,흐림,3,0.0,3.9
1,20250601,2,1200,10,레드썬더,이찬호,김영관,55.1,509.0,7,거,71.7,6.6,32.0,1-2-4,포슬,흐림,8,0.0,0.0
1,20250601,3,1300,1,독수리,이찬호,정길상,56.1,483.0,8,암,77.1,7.6,28.3,9-9-3,양호,눈,6,0.0,0.0
1,20250601,3,1300,2,실버윙,문세영,박배진,52.6,455.0,7,암,77.7,6.3,37.1,2-10-4,양호,눈,8,0.0,0.0
1,20250601,3,1300,3,영웅호,최보경,최두환,52.3,447.0,8,암,76.1,9.6,33.9,4-6-4,양호,눈,2,0.0,7.3
1,20250601,3,1300,4,로얄킹,조성곤,오창근,52.9,492.0,6,수,78.7,8.1,36.1,1-8-10,양호,눈,10,0.0,0.0
1,20250601,3,1300,5,행운마,최보경,김영관,52.5,457.0,5,수,77.1,6.7,32.0,4-6-5,양호,눈,9,0.0,0.0
1,20250601,3,1300,6,갤럭시,김용근,정해성,57.8,496.0,7,거,77.6,12.1,36.7,1-9-5,양호,눈,7,0.0,0.0
1,20250601,3,1300,7,신바람,송재광,김영관,58.6,451.0,3,수,75.3,11.5,37.3,5-5-10,양호,눈,1,5.1,2.3
1,20250601,3,1300,8,스타라이트,이찬호,김동수,53.4,491.0,5,수,76.4,8.8,30.1,2-7-5,양호,눈,3,0.0,6.6
1,20250601,3,1300,9,탑클래스,문세영,정길상,54.3,450.0,5,거,76.6,7.3,33.2,7-9-1,양호,눈,4,0.0,0.0
1,20250601,3,1300,10,에메랴르드,유현명,김영관,58.6,495.0,4,거,77.0,9.2,38.8,9-3-7,양호,눈,5,0.0,0.0
1,20250601,4,1700,1,파이널킹,송재광,오창근,52.2,499.0,5,거,100.9,13.6,42.7,4-5-3,양호,맑음,2,0.0,6.2
1,20250601,4,1700,2,행운마,박태종,김영관,54.7,443.0,6,암,101.8,10.0,48.6,6-5-4,양호,맑음,8,0.0,0.0
1,20250601,4,1700,3,비상마,이찬호,정길상,56.6,472.0,5,암,102.2,14.3,51.4,6-7-6,양호,맑음,7,0.0,0.0
1,20250601,4,1700,4,전설마,문세영,김영관,58.1,461.0,7,수,100.7,15.2,40.4,7-6-6,양호,맑음,3,0.0,5.6
1,20250601,4,1700,5,스타라이트,박찬호,최두환,58.9,449.0,7,암,101.1,9.6,36.2,1-4-6,양호,맑음,1,24.1,4.8
1,20250601,4,1700,6,블루문,박찬호,김영관,58.6,514.0,7,거,101.1,10.8,49.7,5-5-7,양호,맑음,6,0.0,0.0
1,20250601,4,1700,7,뉴레전드,김태완,오창근,56.9,484.0,4,거,101.7,11.4,50.9,3-5-7,양호,맑음,5,0.0,0.0
1,20250601,4,1700,8,퍼펙트,정성원,정길상,54.1,457.0,7,암,101.6,12.8,41.6,8-4-8,양호,맑음,4,0.0,0.0
2,20250601,5,2400,1,에메랴르드,문세영,조순호,58.9,489.0,3,거,142.9,16.2,70.6,4-7-8,포슬,흐림,2,0.0,7.4
2,20250601,5,2400,2,블루문,박찬호,조순호,53.0,495.0,3,거,145.3,19.4,55.7,8-1-4,포슬,흐림,6,0.0,0.0
2,20250601,5,2400,3,플라잉킹,송재광,김영관,55.2,504.0,8,암,143.6,17.3,62.3,8-7-8,포슬,흐림,5,0.0,0.0
2,20250601,5,2400,4,브레이브,송재광,이재형,57.2,478.0,5,암,144.1,19.3,68.7,8-4-5,포슬,흐림,7,0.0,0.0
2,20250601,5,2400,5,에이스,이승헌,김영관,57.0,459.0,5,수,144.9,14.7,62.8,3-4-7,포슬,흐림,8,0.0,0.0
2,20250601,5,2400,6,탑클래스,김민기,이재형,56.9,445.0,6,수,142.5,15.6,61.4,4-7-7,포슬,흐림,3,0.0,7.9
2,20250601,5,2400,7,스타라이트,송재광,최두환,58.6,442.0,7,암,142.7,15.3,51.5,5-7-7,포슬,흐림,1,22.1,4.4
2,20250601,5,2400,8,골든파워,정성원,박배진,57.6,512.0,6,수,143.1,14.0,60.9,7-6-7,포슬,흐림,4,0.0,0.0
3,20250602,6,1000,1,골든파워,이승헌,김동수,54.4,510.0,5,암,59.9,7.9,28.4,2-8-1,다습,흐림,6,0.0,0.0
3,20250602,6,1000,2,번개호,김민기,박배진,52.4,516.0,4,거,60.0,7.2,28.8,1-1-4,다습,흐림,5,0.0,0.0
3,20250602,6,1000,3,코스모스,이찬호,정길상,56.3,459.0,6,수,59.2,7.2,26.1,8-12-5,다습,흐림,4,0.0,0.0
3,20250602,6,1000,4,영웅호,박태종,김동수,53.2,489.0,8,수,58.0,8.0,28.7,5-2-10,다습,흐림,3,0.0,6.2
3,20250602,6,1000,5,드래곤킹,문세영,박재형,56.0,513.0,6,수,59.0,5.6,27.2,10-12-11,다습,흐림,8,0.0,0.0
3,20250602,6,1000,6,독수리,이찬호,김영관,56.9,464.0,8,거,58.9,7.9,21.6,1-6-9,다습,흐림,7,0.0,0.0
3,20250602,6,1000,7,퍼펙트,박찬호,김동수,52.5,492.0,3,수,59.8,8.9,28.0,7-6-11,다습,흐림,9,0.0,0.0
3,20250602,6,1000,8,자이언트,송재광,정해성,57.0,475.0,8,거,57.5,6.8,27.4,9-8-8,다습,흐림,1,15.0,3.2
3,20250602,6,1000,9,레드썬더,박찬호,최두환,53.9,508.0,3,암,59.8,6.1,25.1,10-10-11,다습,흐림,11,0.0,0.0
3,20250602,6,1000,10,프라이드,박찬호,김동수,52.2,508.0,4,암,60.3,7.4,23.8,6-5-10,다습,흐림,10,0.0,0.0
3,20250602,6,1000,11,썬더볼트,김민기,박재형,55.9,481.0,4,암,57.8,5.2,28.1,9-4-12,다습,흐림,2,0.0,4.0
3,20250602,6,1000,12,챔피언쉽,이승헌,정해성,55.1,441.0,5,암,60.1,5.7,27.3,11-10-6,다습,흐림,12,0.0,0.0
2,20250602,7,1700,1,에이스,김민기,정해성,53.9,487.0,7,수,102.8,12.7,50.9,5-4-6,포슬,맑음,9,0.0,0.0
2,20250602,7,1700,2,백마왕,김용근,박재형,52.1,483.0,5,암,100.2,8.8,37.2,3-8-2,포슬,맑음,3,0.0,3.3
2,20250602,7,1700,3,사파이어,장석현,정길상,56.0,478.0,6,암,101.7,10.9,51.3,8-2-2,포슬,맑음,8,0.0,0.0
2,20250602,7,1700,4,탑클래스,박찬호,정해성,52.5,490.0,3,암,101.3,9.7,48.3,2-4-2,포슬,맑음,6,0.0,0.0
2,20250602,7,1700,5,썬더볼트,정성원,오창근,56.2,503.0,4,암,100.5,13.8,42.5,5-10-7,포슬,맑음,1,3.8,1.3
2,20250602,7,1700,6,에메랴르드,조성곤,최두환,56.3,489.0,8,거,101.1,9.3,47.9,4-5-2,포슬,맑음,5,0.0,0.0
2,20250602,7,1700,7,무적호,김용근,조순호,53.2,446.0,3,암,100.7,11.3,46.6,5-1-4,포슬,맑음,4,0.0,0.0
2,20250602,7,1700,8,퍼펙트,조성곤,박재형,56.9,476.0,8,거,100.8,9.7,41.2,10-4-7,포슬,맑음,7,0.0,0.0
2,20250602,7,1700,9,루비스타,유현명,박배진,53.6,452.0,5,수,100.8,14.6,37.6,5-10-10,포슬,맑음,2,0.0,4.1
2,20250602,7,1700,10,챔피언쉽,송재광,박재형,55.1,477.0,5,거,102.5,13.3,50.2,9-8-8,포슬,맑음,10,0.0,0.0
2,20250602,8,1000,1,결승타,김용근,최두환,55.1,505.0,3,암,58.3,7.1,24.9,11-2-3,양호,눈,3,0.0,5.4
2,20250602,8,1000,2,명마왕,김태완,오창근,56.9,463.0,6,암,59.7,8.4,25.9,2-6-5,양호,눈,11,0.0,0.0
2,20250602,8,1000,3,골든파워,김태완,김영관,58.8,472.0,7,거,58.5,8.4,21.0,8-7-1,양호,눈,4,0.0,0.0
2,20250602,8,1000,4,플라잉킹,이찬호,박배진,54.5,501.0,8,암,58.5,6.3,21.0,9-3-5,양호,눈,5,0.0,0.0
2,20250602,8,1000,5,골드러시,이승헌,정해성,52.8,518.0,7,암,58.9,8.3,28.4,9-1-9,양호,눈,2,0.0,2.9
2,20250602,8,1000,6,크리스탈,박찬호,김영관,53.6,507.0,3,수,60.1,6.8,21.8,8-12-5,양호,눈,12,0.0,0.0
2,20250602,8,1000,7,스피드킹,정성원,박재형,54.9,479.0,6,암,58.5,6.0,25.8,4-10-9,양호,눈,1,3.6,4.1
2,20250602,8,1000,8,퍼펙트,김민기,이재형,58.0,462.0,6,암,59.4,6.3,28.6,1-5-12,양호,눈,6,0.0,0.0
2,20250602,8,1000,9,하늘바람,조성곤,최두환,56.1,493.0,4,암,59.1,6.8,25.6,9-9-7,양호,눈,7,0.0,0.0
2,20250602,8,1000,10,태풍호,이승헌,김동수,58.1,518.0,4,암,60.4,7.3,23.6,1-6-12,양호,눈,10,0.0,0.0
2,20250602,8,1000,11,광풍,이승헌,오창근,54.7,493.0,8,수,59.6,9.7,25.3,3-9-10,양호,눈,8,0.0,0.0
2,20250602,8,1000,12,다이아몬드,김태완,김영관,58.1,475.0,7,수,58.8,9.4,20.9,7-11-3,양호,눈,9,0.0,0.0
2,20250602,9,1200,1,무적호,이찬호,김영관,55.0,448.0,8,수,70.3,9.2,26.2,12-5-1,다습,비,5,0.0,0.0
2,20250602,9,1200,2,프라이드,문세영,김동수,57.6,463.0,5,암,70.7,8.3,27.8,10-11-3,다습,비,7,0.0,0.0
2,20250602,9,1200,3,썬더볼트,김용근,이재형,52.6,510.0,7,거,69.5,9.8,31.5,3-4-8,다습,비,2,0.0,5.5
2,20250602,9,1200,4,빛나는별,한동훈,박재형,55.2,493.0,6,수,69.4,10.4,33.5,2-8-6,다습,비,4,0.0,0.0
2,20250602,9,1200,5,다이아몬드,최보경,박재형,56.5,474.0,5,암,71.7,8.2,28.5,8-2-4,다습,비,9,0.0,0.0
2,20250602,9,1200,6,신바람,박찬호,최두환,54.5,464.0,8,거,69.9,7.4,36.4,7-5-1,다습,비,1,9.0,2.6
2,20250602,9,1200,7,크리스탈,최보경,정길상,58.4,500.0,5,암,72.1,10.2,28.1,4-11-4,다습,비,12,0.0,0.0
2,20250602,9,1200,8,스피드킹,최보경,박재형,56.7,498.0,8,수,71.0,9.6,27.0,11-11-1,다습,비,3,0.0,3.7
2,20250602,9,1200,9,전설마,조성곤,정해성,52.2,469.0,4,거,71.2,6.6,29.0,7-3-4,다습,비,6,0.0,0.0
2,20250602,9,1200,10,윈드러너,김용근,박배진,58.1,469.0,7,암,70.7,10.8,33.6,8-5-12,다습,비,8,0.0,0.0
2,20250602,9,1200,11,블루문,장석현,김동수,57.6,477.0,3,거,71.8,6.8,36.7,12-11-7,다습,비,10,0.0,0.0
2,20250602,9,1200,12,실버윙,장석현,박배진,54.6,503.0,3,암,72.0,6.7,26.8,11-12-11,다습,비,11,0.0,0.0
3,20250602,10,1400,1,썬더볼트,문세영,정길상,54.1,479.0,3,암,81.2,7.6,36.5,8-6-11,양호,흐림,1,14.4,2.0
3,20250602,10,1400,2,전설마,김민기,박배진,54.9,499.0,4,암,82.5,12.2,37.6,10-7-5,양호,흐림,5,0.0,0.0
3,20250602,10,1400,3,에이스,문세영,김동수,53.5,476.0,4,거,83.8,11.8,31.4,6-9-11,양호,흐림,12,0.0,0.0
3,20250602,10,1400,4,코스모스,김태완,정길상,54.8,455.0,3,수,82.6,12.3,39.8,11-4-11,양호,흐림,4,0.0,0.0
3,20250602,10,1400,5,윈드러너,한동훈,최두환,58.8,444.0,5,거,84.4,8.1,30.7,4-2-9,양호,흐림,9,0.0,0.0
3,20250602,10,1400,6,빛나는별,이찬호,최두환,53.5,510.0,5,거,82.2,11.2,39.8,1-5-3,양호,흐림,3,0.0,4.2
3,20250602,10,1400,7,독수리,김용근,박배진,53.8,454.0,8,암,83.0,12.1,31.8,4-10-6,양호,흐림,7,0.0,0.0
3,20250602,10,1400,8,브레이브,문세영,이재형,53.9,450.0,6,암,83.2,9.8,38.0,8-6-9,양호,흐림,11,0.0,0.0
3,20250602,10,1400,9,사파이어,최보경,김영관,55.2,458.0,7,거,83.4,7.5,39.5,9-5-8,양호,흐림,6,0.0,0.0
3,20250602,10,1400,10,비상마,한동훈,정길상,52.4,478.0,6,거,83.8,10.2,31.6,8-2-2,양호,흐림,10,0.0,0.0
3,20250602,10,1400,11,백마왕,김태완,최두환,53.0,450.0,7,암,81.9,10.1,36.8,7-10-9,양호,흐림,2,0.0,3.4
3,20250602,10,1400,12,드래곤킹,조성곤,정해성,55.5,474.0,8,거,84.1,7.3,37.5,12-4-7,양호,흐림,8,0.0,0.0
2,20250603,1,1200,1,뉴스타,김민기,김동수,57.7,485.0,7,거,72.0,10.7,32.3,2-7-6,양호,맑음,10,0.0,0.0
2,20250603,1,1200,2,스타라이트,장석현,오창근,58.1,498.0,5,거,70.2,9.3,29.6,9-4-3,양호,맑음,4,0.0,0.0
2,20250603,1,1200,3,플라잉킹,한동훈,정해성,53.6,449.0,7,거,71.6,7.4,33.1,4-7-9,양호,맑음,7,0.0,0.0
2,20250603,1,1200,4,하늘바람,박태종,최두환,56.3,491.0,3,거,71.0,8.5,32.9,5-1-3,양호,맑음,8,0.0,0.0
2,20250603,1,1200,5,윈드러너,조성곤,박재형,58.5,468.0,4,암,71.0,10.1,31.2,2-3-1,양호,맑음,5,0.0,0.0
2,20250603,1,1200,6,번개호,유현명,박배진,53.5,474.0,5,암,71.0,6.7,28.8,10-10-2,양호,맑음,6,0.0,0.0
2,20250603,1,1200,7,로얄킹,송재광,정길상,53.1,500.0,3,거,72.1,9.1,28.8,7-8-10,양호,맑음,9,0.0,0.0
2,20250603,1,1200,8,루비스타,이승헌,오창근,53.9,500.0,3,거,69.3,7.6,27.0,10-8-9,양호,맑음,2,0.0,1.4
2,20250603,1,1200,9,영웅호,한동훈,박재형,52.3,472.0,7,수,70.2,5.9,28.0,3-5-5,양호,맑음,3,0.0,1.2
2,20250603,1,1200,10,청룡,김태완,김영관,52.1,500.0,4,수,69.7,6.0,31.3,9-9-6,양호,맑음,1,3.6,4.5
1,20250603,2,1700,1,빛나는별,박찬호,김영관,53.7,487.0,7,거,100.7,9.0,48.7,6-4-6,양호,흐림,2,0.0,5.8
1,20250603,2,1700,2,비상마,박태종,이재형,52.5,491.0,7,암,101.8,11.7,50.1,6-12-11,양호,흐림,12,0.0,0.0
1,20250603,2,1700,3,실버윙,장석현,이재형,53.7,452.0,4,거,102.4,9.8,38.1,2-3-11,양호,흐림,10,0.0,0.0
1,20250603,2,1700,4,백마왕,이승헌,정해성,57.3,501.0,6,거,99.5,13.3,50.4,11-10-6,양호,흐림,3,0.0,4.7
1,20250603,2,1700,5,천둥호,장석현,김동수,53.1,445.0,6,거,101.4,13.0,48.3,1-6-9,양호,흐림,6,0.0,0.0
1,20250603,2,1700,6,골든파워,유현명,박재형,55.2,443.0,5,수,102.0,14.3,37.2,10-10-9,양호,흐림,7,0.0,0.0
1,20250603,2,1700,7,썬더볼트,박찬호,정해성,56.1,516.0,8,거,99.9,14.8,42.8,11-4-6,양호,흐림,1,25.1,4.0
1,20250603,2,1700,8,뉴레전드,최보경,정해성,55.5,517.0,6,암,101.5,9.1,49.7,12-2-9,양호,흐림,8,0.0,0.0
1,20250603,2,1700,9,전설마,한동훈,이재형,52.3,497.0,6,암,101.5,12.3,45.3,6-5-7,양호,흐림,4,0.0,0.0
1,20250603,2,1700,10,독수리,박찬호,김동수,56.8,444.0,8,수,100.6,12.3,36.6,9-11-7,양호,흐림,9,0.0,0.0
1,20250603,2,1700,11,뉴스타,조성곤,박재형,57.1,493.0,7,거,102.3,14.5,42.1,11-3-6,양호,흐림,11,0.0,0.0
1,20250603,2,1700,12,번개호,조성곤,오창근,52.9,497.0,3,암,101.3,10.7,40.8,3-11-12,양호,흐림,5,0.0,0.0
3,20250603,3,1800,1,퍼펙트,장석현,김영관,55.6,483.0,8,암,107.9,15.0,39.4,10-3-10,양호,맑음,6,0.0,0.0
3,20250603,3,1800,2,챔피언쉽,박찬호,이재형,53.1,507.0,7,암,108.9,15.1,42.0,1-7-6,양호,맑음,10,0.0,0.0
3,20250603,3,1800,3,매직타임,한동훈,조순호,58.8,489.0,8,수,107.9,14.6,41.6,5-8-4,양호,맑음,5,0.0,0.0
3,20250603,3,1800,4,신바람,김태완,최두환,58.9,477.0,5,암,106.1,14.7,46.2,3-4-10,양호,맑음,1,2.0,3.1
3,20250603,3,1800,5,탑클래스,김용근,박재형,52.4,478.0,5,거,106.9,13.3,39.6,2-5-2,양호,맑음,3,0.0,2.1
3,20250603,3,1800,6,에이스,박태종,이재형,53.9,512.0,4,수,109.1,14.9,39.9,8-6-1,양호,맑음,9,0.0,0.0
3,20250603,3,1800,7,드래곤킹,박찬호,정길상,54.8,470.0,6,수,108.0,16.6,45.0,6-2-6,양호,맑음,7,0.0,0.0
3,20250603,3,1800,8,스타라이트,박태종,이재형,53.0,463.0,6,거,105.9,13.8,39.8,8-8-10,양호,맑음,2,0.0,2.8
3,20250603,3,1800,9,윈드러너,문세영,김영관,52.1,457.0,4,거,107.3,13.1,50.1,7-2-5,양호,맑음,4,0.0,0.0
3,20250603,3,1800,10,실버윙,이찬호,박재형,52.9,459.0,8,수,107.9,15.5,45.7,8-10-9,양호,맑음,8,0.0,0.0
2,20250603,4,1000,1,퍼펙트,정성원,정길상,54.7,478.0,8,거,58.6,6.6,24.7,1-6-2,포슬,맑음,8,0.0,0.0
2,20250603,4,1000,2,갤럭시,김태완,조순호,57.1,490.0,7,수,59.5,8.5,24.9,6-9-6,포슬,맑음,4,0.0,0.0
2,20250603,4,1000,3,에메랴르드,장석현,이재형,57.8,495.0,8,수,58.8,6.6,22.8,2-8-1,포슬,맑음,5,0.0,0.0
2,20250603,4,1000,4,번개호,조성곤,조순호,52.3,456.0,3,암,58.5,5.7,24.8,9-8-5,포슬,맑음,3,0.0,4.5
2,20250603,4,1000,5,태풍호,문세영,조순호,54.0,509.0,3,수,59.9,8.2,23.4,6-7-7,포슬,맑음,10,0.0,0.0
2,20250603,4,1000,6,뉴스타,김민기,정해성,58.3,471.0,4,거,59.7,6.6,25.1,5-2-7,포슬,맑음,11,0.0,0.0
2,20250603,4,1000,7,윈드러너,유현명,오창근,56.2,506.0,7,암,58.7,6.0,21.4,11-5-5,포슬,맑음,7,0.0,0.0
2,20250603,4,1000,8,다이아몬드,이승헌,최두환,57.0,453.0,6,암,59.3,5.5,21.6,10-7-5,포슬,맑음,9,0.0,0.0
2,20250603,4,1000,9,무적호,한동훈,정길상,52.5,491.0,5,수,57.9,7.6,28.6,1-3-10,포슬,맑음,1,8.6,1.5
2,20250603,4,1000,10,돌풍,한동훈,정해성,52.2,445.0,8,거,58.8,7.2,24.7,1-10-3,포슬,맑음,6,0.0,0.0
2,20250603,4,1000,11,빛나는별,한동훈,정해성,58.6,470.0,3,암,58.1,7.3,26.0,6-11-5,포슬,맑음,2,0.0,6.2
2,20250603,5,2400,1,광풍,송재광,정해성,59.0,505.0,5,거,144.1,18.3,66.0,9-5-5,양호,비,8,0.0,0.0
2,20250603,5,2400,2,챔피언쉽,장석현,이재형,57.0,514.0,8,수,145.7,12.6,59.3,2-4-3,양호,비,12,0.0,0.0
2,20250603,5,2400,3,전설마,이찬호,정해성,52.2,484.0,5,수,143.1,16.3,71.7,10-2-2,양호,비,4,0.0,0.0
2,20250603,5,2400,4,실버윙,조성곤,오창근,59.0,498.0,7,거,144.5,16.1,60.5,2-3-6,양호,비,9,0.0,0.0
2,20250603,5,2400,5,로얄킹,한동훈,김영관,55.1,494.0,5,거,145.3,13.1,68.4,11-10-3,양호,비,10,0.0,0.0
2,20250603,5,2400,6,신바람,박태종,이재형,55.0,513.0,3,암,142.2,20.3,62.4,3-3-6,양호,비,1,16.2,1.5
2,20250603,5,2400,7,탑클래스,송재광,조순호,54.4,515.0,5,거,143.1,20.4,56.7,9-5-3,양호,비,3,0.0,1.9
2,20250603,5,2400,8,백마왕,한동훈,박재형,56.3,447.0,8,수,142.9,13.6,71.4,3-11-10,양호,비,2,0.0,2.8
2,20250603,5,2400,9,드래곤킹,김민기,최두환,54.4,514.0,3,수,144.2,19.6,50.7,11-10-5,양호,비,6,0.0,0.0
2,20250603,5,2400,10,윈드러너,한동훈,조순호,57.4,473.0,8,거,143.9,11.3,71.2,5-11-5,양호,비,5,0.0,0.0
2,20250603,5,2400,11,크리스탈,이승헌,조순호,57.6,495.0,5,수,145.6,16.4,65.9,8-7-8,양호,비,11,0.0,0.0
2,20250603,5,2400,12,퍼펙트,이승헌,조순호,54.4,451.0,8,암,144.1,14.8,72.4,7-3-6,양호,비,7,0.0,0.0
2,20250604,6,1400,1,전설마,이승헌,정해성,58.2,480.0,3,수,83.2,12.0,36.5,4-10-6,양호,맑음,6,0.0,0.0
2,20250604,6,1400,2,비상마,문세영,정길상,54.0,488.0,8,수,83.5,10.8,33.5,2-7-3,양호,맑음,11,0.0,0.0
2,20250604,6,1400,3,블루문,송재광,박재형,57.1,501.0,5,거,83.6,7.1,29.9,4-6-9,양호,맑음,9,0.0,0.0
2,20250604,6,1400,4,뉴레전드,조성곤,김영관,54.7,476.0,7,거,83.4,8.8,42.5,10-2-3,양호,맑음,8,0.0,0.0
2,20250604,6,1400,5,썬더볼트,유현명,오창근,54.6,519.0,7,수,80.9,12.9,39.8,10-9-7,양호,맑음,2,0.0,5.7
2,20250604,6,1400,6,결승타,정성원,정길상,52.3,451.0,5,수,83.1,11.4,36.3,10-9-3,양호,맑음,3,0.0,4.7
2,20250604,6,1400,7,다이아몬드,김태완,최두환,54.2,471.0,7,암,83.1,11.2,33.1,9-9-9,양호,맑음,10,0.0,0.0
2,20250604,6,1400,8,탑클래스,이승헌,최두환,54.1,505.0,5,암,82.4,8.5,30.4,10-5-11,양호,맑음,4,0.0,0.0
2,20250604,6,1400,9,사파이어,문세영,최두환,55.3,517.0,7,거,83.4,9.9,40.2,8-3-9,양호,맑음,7,0.0,0.0
2,20250604,6,1400,10,신바람,한동훈,최두환,57.4,470.0,8,거,81.4,8.0,37.3,2-4-1,양호,맑음,1,7.4,2.4
2,20250604,6,1400,11,돌풍,이승헌,김동수,54.9,473.0,4,암,83.6,10.0,39.5,1-3-9,양호,맑음,5,0.0,0.0
2,20250604,7,1300,1,파이널킹,정성원,박재형,53.6,518.0,5,거,76.5,10.5,36.8,12-8-6,양호,흐림,3,0.0,5.1
2,20250604,7,1300,2,플라잉킹,이승헌,김동수,55.9,515.0,8,거,77.4,8.0,28.7,9-7-7,양호,흐림,6,0.0,0.0
2,20250604,7,1300,3,사파이어,장석현,김동수,58.7,504.0,5,수,77.1,6.7,38.1,6-8-11,양호,흐림,10,0.0,0.0
2,20250604,7,1300,4,에메랴르드,조성곤,정해성,53.5,506.0,5,수,76.6,11.4,36.1,2-10-12,양호,흐림,1,14.2,2.1
2,20250604,7,1300,5,코스모스,최보경,조순호,53.7,494.0,7,수,77.0,7.7,30.6,7-6-12,양호,흐림,2,0.0,3.4
2,20250604,7,1300,6,로얄킹,이승헌,김영관,56.8,451.0,7,거,78.0,11.9,29.7,8-8-11,양호,흐림,12,0.0,0.0
2,20250604,7,1300,7,레드썬더,이찬호,박재형,54.2,492.0,3,거,77.8,10.0,30.4,12-1-3,양호,흐림,11,0.0,0.0
2,20250604,7,1300,8,전설마,박찬호,이재형,58.5,443.0,6,거,77.1,10.3,30.3,5-1-1,양호,흐림,7,0.0,0.0
2,20250604,7,1300,9,하늘바람,조성곤,최두환,56.2,514.0,5,거,77.7,7.9,39.3,9-8-3,양호,흐림,8,0.0,0.0
2,20250604,7,1300,10,탑클래스,장석현,박배진,55.3,455.0,3,거,76.7,8.2,36.0,5-12-3,양호,흐림,5,0.0,0.0
2,20250604,7,1300,11,블루문,문세영,김동수,57.5,485.0,4,암,78.0,7.3,37.5,7-9-6,양호,흐림,9,0.0,0.0
2,20250604,7,1300,12,골드러시,유현명,오창근,56.7,455.0,4,수,77.6,8.9,38.4,5-7-4,양호,흐림,4,0.0,0.0
3,20250604,8,1000,1,자이언트,김민기,김영관,56.5,515.0,5,수,57.8,7.8,22.5,8-3-8,양호,맑음,1,12.3,2.0
3,20250604,8,1000,2,갤럭시,김민기,최두환,54.6,496.0,6,수,58.5,8.1,29.0,4-2-9,양호,맑음,4,0.0,0.0
3,20250604,8,1000,3,백마왕,이승헌,박배진,56.9,446.0,7,거,57.9,6.0,28.6,4-9-3,양호,맑음,2,0.0,4.3
3,20250604,8,1000,4,독수리,김용근,김동수,58.0,475.0,8,수,58.8,6.2,26.3,9-8-1,양호,맑음,6,0.0,0.0
3,20250604,8,1000,5,브레이브,이승헌,이재형,55.6,477.0,3,암,59.4,6.8,26.9,1-7-5,양호,맑음,9,0.0,0.0
3,20250604,8,1000,6,뉴레전드,장석현,정길상,57.2,486.0,3,거,60.1,6.6,27.7,1-2-8,양호,맑음,8,0.0,0.0
